City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
185,Shellbrook,CA,2021-11-01 03:33:09,53.2168,-106.4011,25.83,84,9,5.68,clear sky
186,Kruisfontein,ZA,2021-11-01 03:34:09,-34.0033,24.7314,60.89,87,100,19.01,overcast clouds
187,Lebu,CL,2021-11-01 03:34:10,-37.6167,-73.65,50.14,94,75,6.22,broken clouds
188,Namatanai,PG,2021-11-01 03:34:10,-3.6667,152.4333,85.5,67,70,11.63,broken clouds
189,Kysyl-Syr,RU,2021-11-01 03:34:10,63.8986,122.7617,16.99,84,100,6.15,overcast clouds
190,Sakakah,SA,2021-11-01 03:34:11,29.9697,40.2064,71.17,36,100,10.18,overcast clouds
191,Fairbanks,US,2021-11-01 03:31:01,64.8378,-147.7164,44.94,47,20,12.66,few clouds
192,Innisfail,AU,2021-11-01 03:31:42,-17.5333,146.0333,94.87,60,60,11.61,broken clouds
193,Oak Ridge,US,2021-11-01 03:34:11,36.0104,-84.2696,52.65,92,20,0.0,few clouds
194,Zhanakorgan,KZ,2021-11-01 03:34:11,43.9098,67.2495,45.93,55,16,2.77,few clouds
195,Kyrksaeterora,NO,2021-11-01 03:34:12,63.2906,9.0891,52.45,80,100,10.78,overcast clouds
196,Havre-Saint-Pierre,CA,2021-11-01 03:34:12,50.2334,-63.5986,52.39,93,90,13.8,mist
197,Labis,MY,2021-11-01 03:34:12,2.385,103.021,85.06,72,91,2.91,overcast clouds
198,Kaitangata,NZ,2021-11-01 03:34:12,-46.2817,169.8464,58.62,58,96,12.28,overcast clouds
199,Cabra,ES,2021-11-01 03:34:13,37.4725,-4.4421,67.39,88,100,4.0,overcast clouds
200,Katsuura,JP,2021-11-01 03:34:13,35.1333,140.3,68.04,74,99,6.58,overcast clouds
201,Barra Dos Coqueiros,BR,2021-11-01 03:34:13,-10.9089,-37.0386,78.82,78,40,8.05,scattered clouds
202,Talas,TR,2021-11-01 03:34:14,38.6908,35.5538,43.47,81,40,1.14,scattered clouds
203,Saqqez,IR,2021-11-01 03:34:14,36.2499,46.2735,54.48,63,99,2.24,overcast clouds
204,Poum,NC,2021-11-01 03:34:14,-20.2333,164.0167,75.88,74,1,21.94,clear sky
205,Valparaiso,CL,2021-11-01 03:34:15,-33.0393,-71.6273,58.48,74,40,0.0,scattered clouds
206,Provost,CA,2021-11-01 03:34:15,52.3501,-110.2683,26.02,59,0,1.32,clear sky
207,Carballo,ES,2021-11-01 03:34:15,43.213,-8.691,55.09,94,38,3.98,scattered clouds
208,Khatanga,RU,2021-11-01 03:32:40,71.9667,102.5,5.72,96,100,11.63,light snow
209,Viet Tri,VN,2021-11-01 03:34:15,21.3019,105.4308,69.75,92,100,0.4,overcast clouds
210,Geraldton,AU,2021-11-01 03:34:16,-28.7667,114.6,70.21,43,58,17.27,broken clouds
211,Codajas,BR,2021-11-01 03:34:16,-3.8367,-62.0569,73.92,93,99,2.15,overcast clouds
212,Wanning,CN,2021-11-01 03:34:16,18.8003,110.3967,79.11,87,46,9.01,scattered clouds
213,Meulaboh,ID,2021-11-01 03:34:17,4.1363,96.1285,84.06,67,100,3.78,overcast clouds
214,Leh,IN,2021-11-01 03:31:37,34.1667,77.5833,27.37,50,99,2.46,overcast clouds
215,Abha,SA,2021-11-01 03:34:17,18.2164,42.5053,51.62,62,0,0.0,clear sky
216,Vanderhoof,CA,2021-11-01 03:30:36,54.0166,-124.0198,26.46,69,6,2.55,clear sky
217,Keningau,MY,2021-11-01 03:34:18,5.3378,116.1602,84.65,69,99,1.86,overcast clouds
218,Paamiut,GL,2021-11-01 03:34:18,61.994,-49.6678,31.33,71,96,9.08,overcast clouds
219,San Jose,US,2021-11-01 03:31:29,37.3394,-121.895,61.09,72,75,0.0,broken clouds
220,Akdepe,TM,2021-11-01 03:34:18,42.0551,59.3788,33.89,39,0,6.2,clear sky
221,Souillac,MU,2021-11-01 03:33:54,-20.5167,57.5167,77.36,88,40,3.44,scattered clouds
222,Olafsvik,IS,2021-11-01 03:34:19,64.8945,-23.7142,34.7,69,28,16.87,scattered clouds
223,Ballina,AU,2021-11-01 03:32:31,-28.8667,153.5667,71.78,53,90,9.22,overcast clouds
224,Kula,TR,2021-11-01 03:34:19,38.5473,28.6498,51.13,93,100,1.1,light rain
225,Pevek,RU,2021-11-01 03:34:20,69.7008,170.3133,2.89,95,100,6.02,light snow
226,Paita,PE,2021-11-01 03:34:20,-5.0892,-81.1144,65.03,80,18,9.15,few clouds
227,Lata,PT,2021-11-01 03:34:20,40.1629,-8.3327,61.21,96,100,5.26,overcast clouds
228,Aasiaat,GL,2021-11-01 03:34:21,68.7098,-52.8699,32.22,95,100,12.71,light snow
229,Kalangala,UG,2021-11-01 03:34:21,-0.3089,32.225,70.43,75,96,4.94,light rain
