City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
293,Gotsu,JP,69.94,overcast clouds,35.0,132.2167,Yurusato
295,Manacapuru,BR,79.38,overcast clouds,-3.2997,-60.6206,Novo Hotel
301,Airai,TL,78.55,broken clouds,-8.9266,125.4092,Juvinal Martin
302,Coromoro,CO,60.87,overcast clouds,6.2946,-73.0402,Villa Lucía
306,Inhambane,MZ,70.32,clear sky,-23.865,35.3833,Oceano
307,Maceio,BR,76.44,scattered clouds,-9.6658,-35.7353,Poutur Pousada
313,Padang,ID,84.25,moderate rain,-0.9492,100.3543,Mercure Padang
314,Mackay,AU,79.05,overcast clouds,-21.15,149.2,International Lodge Motel
315,Nanning,CN,66.65,overcast clouds,22.8167,108.3167,Nanning Travelling With Hostel
320,Lorengau,PG,83.05,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
322,Nchelenge,ZM,72.52,overcast clouds,-9.3451,28.734,KD Travellers Home
324,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
325,Caravelas,BR,73.85,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
335,Jega,NG,74.7,clear sky,12.2175,4.3792,ALH. Nasiru Ibrahim
336,Ugoofaaru,MV,81.86,light rain,5.6667,73.0,Ungoofaaru Inn
338,Mahanoro,MG,75.13,scattered clouds,-19.9,48.8,BUNGALOW MAHAMANINA
340,Paso De Patria,AR,77.11,light rain,-27.2454,-58.5454,"Posada Pasito's III, Paso de Patria Ñeembucú"
343,Sola,VU,86.67,broken clouds,-13.8833,167.55,Leumerus Bungalows
345,Alghero,IT,68.09,clear sky,40.5589,8.3181,Villa Las Tronas Hotel & Spa
347,Saint-Leu,RE,75.96,clear sky,-21.15,55.2833,La Caz Oceane
348,Kimbe,PG,84.29,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
351,La Argentina,CO,60.78,overcast clouds,2.1961,-75.98,Hotel Guadalupe
354,Acapulco,MX,78.62,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
361,Parasia,IN,71.74,clear sky,22.2,78.7667,Hotel Navrang
362,Cabo San Lucas,MX,78.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
365,Moratuwa,LK,78.82,overcast clouds,6.773,79.8816,Sa Mansion By Yoho
366,Marawi,PH,75.65,broken clouds,7.9986,124.2928,Derogongan Residence
367,Chuy,UY,63.07,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
368,Hirara,JP,82.26,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
369,Muroto,JP,73.44,broken clouds,33.2833,134.15,Oota Ryokan
376,Faanui,PF,79.16,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
378,Norwalk,US,65.03,clear sky,33.9022,-118.0817,DoubleTree by Hilton Hotel Los Angeles - Norwalk
379,Teknaf,BD,83.68,broken clouds,20.8624,92.3058,Forestry Guesthouse
380,Kloulklubed,PW,86.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
381,Marsaxlokk,MT,66.07,broken clouds,35.8419,14.5431,Water's Edge
387,Emerald,AU,84.34,broken clouds,-23.5333,148.1667,The Irish Village
391,Labuhan,ID,83.53,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
393,Pafos,CY,73.31,clear sky,34.7667,32.4167,Elysium Hotel
398,Ternate,ID,83.8,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
399,Araguari,BR,62.89,overcast clouds,-18.6472,-48.1872,Big Executive Hotel - Araguari MG
400,Barreirinhas,BR,77.13,overcast clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
401,Bairiki,KI,86.0,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
403,Faro,PT,69.58,broken clouds,37.0194,-7.9322,Hotel Faro & Beach Club
405,Puerto Escondido,MX,79.63,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
406,Cumpas,MX,62.89,clear sky,29.9833,-109.7833,Hotel La Palma
407,Manono,CD,68.16,overcast clouds,-7.3,27.4167,Hotel hewa bora
408,Sotouboua,TG,71.64,few clouds,8.5667,0.9833,Auberge Médina
410,Flinders,AU,76.8,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
411,Menongue,AO,61.47,broken clouds,-14.6585,17.691,Ritz Lauca
413,Ateli,IN,76.93,clear sky,28.1,76.2833,Hitesh Kumar
414,Teluk Nibung,ID,85.78,light rain,3.001,99.8164,Hotel Assyifa
415,Parrita,CR,81.99,overcast clouds,9.5201,-84.3225,Beso del Viento
421,Auki,SB,80.62,overcast clouds,-8.7676,160.7034,Auki Motel
425,West Bay,KY,82.47,scattered clouds,19.3667,-81.4167,Calypso Cove
428,Charagua,BO,74.73,overcast clouds,-19.8,-63.2167,Hotel
429,Vilhena,BR,68.58,overcast clouds,-12.7406,-60.1458,Hotel Mirage
432,Kermanshah,IR,60.51,overcast clouds,34.3142,47.065,Sina Hotel
433,Naze,JP,70.72,few clouds,28.3667,129.4833,オーベルジュ・アガルイ
434,Mahebourg,MU,77.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
436,Sinjar,IQ,64.04,overcast clouds,36.3209,41.8754,زوماني فون 1
440,Hualmay,PE,64.0,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
443,Corsicana,US,65.77,clear sky,32.0954,-96.4689,"Holiday Inn Express & Suites Corsicana I-45, an IHG Hotel"
449,Vila Franca Do Campo,PT,73.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
451,Manggar,ID,81.03,overcast clouds,-2.8833,108.2667,Guest Hotel
452,Irupi,BR,63.73,overcast clouds,-20.3453,-41.6411,Hotel Pousada Caminhos do Caparaó
454,Sirsilla,IN,77.18,broken clouds,18.3833,78.8333,Appartment Complex
455,Port Hedland,AU,82.45,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
456,Hithadhoo,MV,82.45,overcast clouds,-0.6,73.0833,Scoop Guest House
460,Cabimas,VE,78.89,overcast clouds,10.3883,-71.4399,Foresgum jejdjdkdkdkdkdkdkdkdkd
467,Lagoa,PT,68.23,overcast clouds,39.05,-27.9833,Casa Das Faias
468,Sosua,DO,78.78,few clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
470,Punto Fijo,VE,80.19,overcast clouds,11.6956,-70.1996,Santa Fe Inn Hotel
471,Nargana,PA,78.35,overcast clouds,9.4428,-78.5906,Dubbir
476,Tual,ID,84.06,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
477,Chipinge,ZW,63.36,few clouds,-20.1883,32.6236,Chipinge Breeze Lodge
478,Arlit,NE,78.87,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
479,Takoradi,GH,77.18,overcast clouds,4.8845,-1.7554,Raybow International Hotel
481,Afua,BR,76.28,broken clouds,-0.1567,-50.3867,Hotel Dias
483,Santa Fe,AR,74.75,broken clouds,-31.6333,-60.7,Conquistador Hotel
484,Monte Alegre,BR,78.22,broken clouds,-2.0078,-54.0692,Hotel Shekinah
485,Milagres,BR,83.17,overcast clouds,-7.3133,-38.9456,Pousada Neves
487,Codrington,AU,63.1,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
