City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
132,Taoudenni,ML,2021-10-31 23:42:05,22.6783,-3.9836,80.46,18,0,11.07
133,Clyde River,CA,2021-10-31 23:46:50,70.4692,-68.5914,19.83,83,100,9.66
134,Pisco,PE,2021-10-31 23:46:50,-13.7,-76.2167,64.45,82,0,20.71
135,Miandrivazo,MG,2021-10-31 23:46:50,-19.5167,45.4667,72.48,77,1,1.9
136,Rio Grande City,US,2021-10-31 23:47:51,26.3798,-98.8203,85.75,45,0,14.56
137,Norman Wells,CA,2021-10-31 23:47:30,65.282,-126.8329,24.84,93,75,2.3
138,Tura,IN,2021-10-31 23:47:51,25.5198,90.2201,59.9,73,0,3.4
139,Codrington,AU,2021-10-31 23:47:51,-38.2667,141.9667,61.43,64,7,2.84
140,Ancud,CL,2021-10-31 23:45:44,-41.8697,-73.8203,67.53,79,52,6.04
141,Te Anau,NZ,2021-10-31 23:45:46,-45.4167,167.7167,52.7,75,83,7.45
142,Usevya,TZ,2021-10-31 23:47:52,-7.1,31.2333,68.85,85,100,3.06
143,Lethem,GY,2021-10-31 23:44:29,3.3803,-59.7968,79.63,74,99,5.23
144,Pandhana,IN,2021-10-31 23:47:52,21.7,76.2167,61.66,56,6,3.76
145,Iskele,TR,2021-10-31 23:47:53,39.484,26.9278,60.89,67,75,12.66
146,Acari,PE,2021-10-31 23:47:53,-15.4311,-74.6158,69.96,67,1,4.27
147,Cidreira,BR,2021-10-31 23:47:54,-30.1811,-50.2056,67.98,88,9,21.23
148,Lorengau,PG,2021-10-31 23:47:54,-2.0226,147.2712,81.36,83,100,12.39
149,Sabang,ID,2021-10-31 23:47:54,5.8933,95.3214,80.64,77,92,5.12
150,Havre-Saint-Pierre,CA,2021-10-31 23:47:54,50.2334,-63.5986,50.0,100,90,14.97
151,Seoul,KR,2021-10-31 23:46:17,37.5683,126.9778,57.61,100,20,2.3
152,Kavieng,PG,2021-10-31 23:47:55,-2.5744,150.7967,86.0,64,96,16.87
153,San Quintin,MX,2021-10-31 23:47:55,30.4833,-115.95,65.23,74,2,10.63
154,Esperance,AU,2021-10-31 23:47:56,-33.8667,121.9,69.64,47,100,11.45
155,Worthington,US,2021-10-31 23:45:04,40.0931,-83.018,57.97,73,90,1.01
156,Kapit,MY,2021-10-31 23:47:56,2.0167,112.9333,76.39,95,81,1.16
